    YEAR      WO    WOse      NH    NHse      SH    SHse
2005.500  14.383   0.995  17.785   0.955  11.996   1.074
2006.500  16.456   0.521  18.207   0.983  15.227   1.285
2007.500  15.586   0.704  18.067   0.723  13.845   1.145
2008.500  17.082   0.773  19.758   1.601  15.203   0.530
2009.500  18.006   0.969  17.419   1.157  18.417   1.586
2010.500  18.400   0.790  19.231   0.636  17.816   1.062
2011.500  17.752   0.324  14.370   0.373  20.125   0.775
2012.500  21.102   0.194  20.884   0.258  21.255   0.366
2013.500  22.660   0.899  24.041   0.547  21.690   1.530
2014.500  25.175   0.274  22.498   0.096  27.052   0.520
2015.500  26.297   0.558  23.102   1.559  28.538   0.615
2016.500  24.362   0.722  29.082   1.065  21.050   1.867
2017.500  26.601   0.599  31.917   1.428  22.871   0.534
2018.500  26.750   0.638  28.533   1.341  25.499   0.967
2019.500  28.224   0.275  32.671   0.894  25.103   0.894

